"","sound.files","selec","duration","meanfreq","sd","freq.median","freq.Q25","freq.Q75","freq.IQR","time.median","time.Q25","time.Q75","time.IQR","skew","kurt","sp.ent","time.ent","entropy","sfm","meandom","mindom","maxdom","dfrange","modindx","startdom","enddom","dfslope","meanpeakf","bottom.freq","top.freq"
"1","tmp.wav",1,0.193833370666058,5.67139445072626,2.06076351463667,4.98967741935484,4.15354838709677,7.24,3.08645161290323,0.0949996336996337,0.0502688644688645,0.145268498168498,0.0949996336996337,5.54698600122638,49.6211696535699,0.94142268900657,0.885944716210857,0.834048457046388,0.681539564990434,4.79466666666667,2.88,8.16,5.28,27.1818181818182,4.08,4.56,2.47635377928272,4.92,2.76,9.96
"2","tmp.wav",2,0.195625037677804,7.5241313738505,0.933161673739372,7.31169107856192,6.95888149134487,8.03264980026631,1.07376830892144,0.107401960784314,0.0617987472766885,0.145759803921569,0.0839610566448802,2.01271689276647,7.36181209403453,0.947513210490924,0.885783775810399,0.839291829218884,0.688060364368186,7.38830769230769,6,9.6,3.6,29.2,7.68,9.12,7.36102094646848,7.32,5.88,9.72
"3","tmp.wav",3,0.173895866826051,5.3244805789652,0.75511352202161,5.37258110014105,4.96400564174894,5.75813822284908,0.794132581100141,0.0888705978705979,0.0487079238329238,0.128178746928747,0.0794708230958231,1.88059760958294,7.05267919416955,0.920632575535563,0.887002377816823,0.81660328359567,0.532735681058843,5.08834532374101,2.88,6.72,3.84,16,2.88,4.32,8.28081786118839,5.16,2.76,6.84
"4","tmp.wav",6,0.104125020054703,5.46005245721231,0.877632886509853,5.42466165413534,4.93383458646617,6.14646616541353,1.21263157894737,0.0553300209205021,0.0313682008368201,0.0749351464435146,0.0435669456066946,1.50454516054902,5.34823037166405,0.949584041493156,0.900739003559054,0.855327383330124,0.706851932668561,5.581,4.32,6.72,2.4,11.8,4.8,5.28,4.60984304970918,5.4,3.24,7.08
"5","tmp.wav",7,0.128854191484262,5.31020620465217,0.546779207951583,5.17835294117647,4.91435294117647,5.58211764705882,0.667764705882353,0.0745544175027871,0.0430950390189521,0.100842391304348,0.0577473522853958,2.04245025344352,7.99791832239941,0.930643428816724,0.89278164974807,0.830861375706196,0.621121308827399,5.1944,4.32,6.48,2.16,14.1111111111111,4.8,5.04,1.86257037691563,5.16,4.2,6.84
"6","tmp.wav",8,0.116333355739386,5.66219186166995,0.636501246209508,5.63570149253731,5.26602985074627,6.09994029850746,0.833910447761194,0.0631400247831475,0.0376245353159851,0.0847633209417596,0.0471387856257745,1.46173455459581,5.42754328791362,0.952050589504667,0.896103599237356,0.853135959911179,0.705266538268391,5.55022222222222,4.56,6.72,2.16,13.8888888888889,4.56,6.24,14.4412579635681,5.4,4.2,7.08
"7","tmp.wav",9,0.156479196804899,6.95058757230957,0.2013237786863,6.94395721925134,6.81561497326203,7.07871657754011,0.263101604278075,0.0763103881278539,0.0458719748858447,0.108034931506849,0.0621629566210046,2.50417947864322,10.1959801297611,0.875024517444998,0.888169173320256,0.77716980229408,0.452176260465602,6.92542936288089,6.48,7.2,0.720000000000001,23.6666666666667,6.72,6.96,1.53375020386408,7.08,6.36,7.56
"8","tmp.wav",10,0.185312535691594,7.36905728573834,0.389691380412784,7.2804,7.0914,7.5342,0.4428,0.0841165034562212,0.0439796947004608,0.121691388248848,0.0777116935483871,1.982924203954,6.69708150680421,0.899423481430476,0.886076089642652,0.796957641358697,0.485706335060775,7.32579310344828,6.72,8.64,1.92,14.625,8.4,7.68,-3.88532808810225,7.32,6.6,8.76
"9","tmp.wav",11,0.189937536582377,4.64748204203708,0.618794575254112,4.64539184952978,4.30833855799373,5.10884012539185,0.800501567398119,0.0977431179775281,0.0520727528089888,0.141706179775281,0.0896334269662921,2.23519687456506,8.80523481498505,0.909740289516103,0.886010168808425,0.806039147485987,0.517732863277553,4.85811659192825,4.08,5.52,1.44,15.8333333333333,4.56,5.28,3.79071990168584,4.68,2.76,6.12
"10","tmp.wav",12,0.191937536967579,7.08433757661596,0.637846143134924,7.17913043478261,6.58434782608696,7.50260869565218,0.918260869565218,0.0895708333333333,0.0511833333333333,0.123266527777778,0.0720831944444444,3.6953745692009,26.1353835518154,0.943890678875477,0.885777308847407,0.836076945380472,0.677479394362312,7.30909090909091,6,8.16,2.16,21.1111111111111,8.16,7.68,-2.50081358541701,7.56,5.64,8.52
"11","tmp.wav",13,0.130083358387672,5.39891418866473,0.747225786764779,5.44713426853707,5.12392785571142,5.80112224448898,0.677194388777556,0.0689183222958057,0.0348899006622517,0.098639348785872,0.0637494481236203,2.24498227179614,8.54370603353594,0.906683024719595,0.892719321912704,0.809413455017436,0.50740336657475,5.50891089108911,3.12,6.72,3.6,8.73333333333333,4.8,6,9.22485408489977,5.4,3,6.84
"12","tmp.wav",14,0.157416696985464,5.86396599065607,1.72449255180142,5.56411214953271,4.91588785046729,6.49831775700935,1.58242990654206,0.0669128065395095,0.0343142597638511,0.11066348773842,0.0763492279745686,3.12182019312257,15.9333288767571,0.925540817644978,0.888484180186618,0.82232837459455,0.571343097390028,5.38239130434783,3.12,9.36,6.24,17.1923076923077,5.04,5.76,4.57384771620817,5.4,2.52,10.68
"13","tmp.wav",15,0.153041696142829,5.3617483801519,0.781304656690829,5.41923076923077,5.05307692307692,5.83115384615385,0.778076923076923,0.0844515639589169,0.0497278244631186,0.112744981325864,0.0630171568627451,2.32349049887945,10.324621457604,0.920710650624395,0.888951011511237,0.818466664181726,0.554724628959083,5.44156424581006,3.12,6.72,3.6,12.8,5.04,6.48,9.40920047472615,5.4,3,7.08
"14","tmp.wav",17,0.181979201716253,6.34496872997596,1.06193793610009,6.82867924528302,6.15784366576819,6.98264150943396,0.824797843665769,0.0956885758998435,0.0478442879499218,0.124736893583725,0.0768926056338028,3.91402276825593,20.9398087411018,0.871542759666664,0.886368968014284,0.772508456466062,0.47224165924379,6.88468384074941,3.6,7.44,3.84,8.5,6.24,6.72,2.63766405981069,7.08,3.48,7.56
